Seed,Score,Potential_Score,Commands_Sent,Failures,Tasks_Completed,Remaining_Sites,Remaining_Resources,Actor_Idle_Time,Ticks,Time_to_Run
1646968791,84.14303577913593,305.3054175465773,1351,0,2,12,180,44:554;45:526;46:678;,14400,21.118554079905152
1646968825,142.62590847304534,319.63188848956435,1276,0,3,9,83,44:536;45:587;46:545;,14400,9.050450709182769
1646968818,0,339.5317115225513,1245,0,0,14,188,44:686;45:452;46:447;,14400,23.131595187820494
1646968842,58.4828726939094,388.74422270629543,1292,0,1,9,81,43:530;44:617;45:519;,14400,10.059629548341036
1646968849,173.62741699796953,270.25019359965336,1272,0,4,13,176,40:613;41:517;42:552;,14400,20.114930695854127
1646968858,103.4828726939094,325.9763658006235,1228,0,2,10,150,41:514;42:419;43:672;,14400,16.095926395151764
1646968877,136.7168955570747,293.2164791360761,1158,0,3,9,68,46:527;47:459;48:534;,14400,10.061008864082396
1646968881,292.2653959598211,292.26539595982115,1082,0,6,4,26,40:440;41:498;42:457;,13263,9.054634916130453
1646968902,196.19188163941473,292.8146582410985,1371,0,4,10,64,47:627;48:694;49:470;,14400,11.064461736008525
1646968905,97.11028969187892,258.2579658673006,1206,0,2,17,167,42:635;43:470;44:529;,14400,15.087866173591465
1646968919,220.19268525971998,271.8154618614038,1274,0,5,9,94,45:600;46:529;47:523;,14400,12.069006314035505
1646968928,0,337.64061406506505,1219,0,0,12,177,47:561;48:570;49:468;,14400,21.12642573006451
1646968940,51.622776601683796,382.29272619296705,1205,0,1,10,143,44:569;45:432;46:557;,14400,16.10103178070858
1646968973,0,308.2958883507713,1046,0,0,13,147,42:436;43:407;44:534;,14400,18.10224717622623
1646968999,38.62741699796952,245.5745490543219,1039,0,1,15,160,45:448;46:451;47:499;,14400,18.10576091799885
1646969021,0,370.44451783404645,1274,0,0,14,176,43:598;44:475;45:588;,14400,23.13331261370331
1647004834,45.0,351.58705684503434,1445,0,1,17,177,49:634;50:660;51:614;,14400,53.601797447074205
1647004834,45.0,351.58705684503434,1445,0,1,17,177,49:634;50:660;51:614;,14400,54.66626953706145
1647004931,162.19199598333685,298.1951278546984,1185,0,3,8,69,43:550;44:500;45:474;,14400,22.249055294319987
1647004932,38.62741699796952,339.68548909005096,1148,0,1,11,243,44:405;45:473;46:562;,14400,62.65056686801836
1647005007,91.00313187136153,353.93946101676215,1319,0,2,12,70,39:843;40:470;41:377;,14400,20.177123496774584
1647005067,161.9657453878188,330.78051797283945,1245,0,3,9,141,40:515;41:548;42:553;,14400,28.29225072497502
1647005048,32.52025917745213,327.53399639315165,1267,0,1,15,208,37:508;38:601;39:538;,14400,54.636693105101585
1647005129,99.56910503773094,327.546920914356,1147,0,2,10,124,42:517;43:486;44:474;,14400,32.35838128114119
1647005135,0,387.63936196254076,1387,0,0,13,178,39:617;40:609;41:552;,14400,44.47812968911603
1647005200,122.25483399593904,315.7420099475343,1152,0,3,6,62,38:444;39:482;40:527;,14400,19.243370754178613
